node,neigh,neicount,bunbo,ave,senderfreq,bunsan,stdhensa,hendoukeisu,max,min,max-min,seiki,force,0-1hantei,ave-hantei,bunsan-hanteo,hendoukeisuu-hantei,seiki+hendoukeisuu
1,0,5,6,1.200000,2.000000,0.160000,0.400000,0.333333,2,1,1,1.000000,,s,s,s,d,s
2,0,5,6,1.200000,2.000000,0.160000,0.400000,0.333333,2,1,1,1.000000,,s,s,s,d,s
1,0,5,7,1.400000,3.000000,0.640000,0.800000,0.571429,3,1,2,1.000000,,s,s,s,d,s
2,0,5,7,1.400000,3.000000,0.640000,0.800000,0.571429,3,1,2,1.000000,,s,s,s,d,s
1,2,5,8,1.600000,2.000000,0.640000,0.800000,0.500000,3,1,2,0.500000,,s,s,s,d,s
5,2,7,8,1.142857,2.000000,0.122449,0.349927,0.306186,2,1,1,1.000000,,s,s,s,d,s
4,2,7,8,1.142857,2.000000,0.122449,0.349927,0.306186,2,1,1,1.000000,,s,s,s,d,s
6,2,4,5,1.250000,2.000000,0.187500,0.433013,0.346410,2,1,1,1.000000,,s,s,s,d,s
2,1,5,8,1.600000,2.000000,0.640000,0.800000,0.500000,3,1,2,0.500000,,s,s,s,d,s
4,1,7,9,1.285714,2.000000,0.204082,0.451754,0.351364,2,1,1,1.000000,,s,s,s,d,s
3,1,4,5,1.250000,2.000000,0.187500,0.433013,0.346410,2,1,1,1.000000,,s,s,s,d,s
5,1,7,9,1.285714,2.000000,0.204082,0.451754,0.351364,2,1,1,1.000000,,s,s,s,d,s
2,1,5,9,1.800000,3.000000,0.960000,0.979796,0.544331,3,1,2,1.000000,,s,s,s,d,s
4,1,7,10,1.428571,3.000000,0.530612,0.728431,0.509902,3,1,2,1.000000,,s,s,s,d,s
3,1,4,6,1.500000,3.000000,0.750000,0.866025,0.577350,3,1,2,1.000000,,s,s,s,d,s
5,1,7,10,1.428571,3.000000,0.530612,0.728431,0.509902,3,1,2,1.000000,,s,s,s,d,s
1,2,5,9,1.800000,3.000000,0.960000,0.979796,0.544331,3,1,2,1.000000,,s,s,s,d,s
5,2,7,11,1.571429,3.000000,0.816326,0.903508,0.574960,3,1,2,1.000000,,s,s,s,d,s
4,2,7,11,1.571429,3.000000,0.816326,0.903508,0.574960,3,1,2,1.000000,,s,s,s,d,s
6,2,4,6,1.500000,3.000000,0.750000,0.866025,0.577350,3,1,2,1.000000,,s,s,s,d,s
1,2,5,10,2.000000,4.000000,1.600000,1.264911,0.632456,4,1,3,1.000000,,s,s,d,d,s
5,2,7,12,1.714286,4.000000,1.346939,1.160577,0.677003,4,1,3,1.000000,,s,s,d,d,s
4,2,7,12,1.714286,4.000000,1.346939,1.160577,0.677003,4,1,3,1.000000,,s,s,d,d,s
